SeasonL,PERL,SeasonJ,PERJ,Team_L,Team_J
2003,18.3,1984,25.8,Cle,Chi
2004,25.7,1985,27.5,Cle,Chi
2005,28.7,1986,29.8,Cle,Chi
2006,24.5,1987,31.7,Cle,Chi
2007,29.1,1988,31.1,Cle,Chi
2008,31.7,1989,31.2,Cle,Chi
2009,31.1,1990,31.6,Cle,Chi
2010,27.3,1991,27.7,Mia,Chi
2011,30.7,1992,29.7,Mia,Chi
2012,31.6,1993,,Mia,
2013,29.3,1994,22.1,Mia,Chi
2014,25.9,1995,29.4,Cle,Chi
2015,27.5,1996,27.8,Cle,Chi
2016,27.0,1997,25.2,Cle,Chi
2017,28.6,1998,25.2,Cle,Chi
2018,25.6,1999,,Lal,
2019,25.5,2000,,Lal,
2020,24.2,2001,20.7,Lal,Was
2021,26.2,2002,19.3,Lal,Was
2022,23.8,,,Lal,
