giocatori,partite,PER,totPTS
Michael Jordan,1072,27.9,32292
Joel Embiid,394,27.9,10718
Nikola Jokic,596,27.7,12054
Lebron James,1421,27.2,38652
Anthony davis,660,27.0,15841
Shaquille O'neal,1207,26.4,28596
David Robinson,987,26.2,20790
Wilt Chamberlain,1045,26.2,31419
Bob Petit,792,25.5,20880
Kevin Durant,986,25.3,26892
Luka Doncic,330,25.2,9100
Giannis Antetokoumpo,719,24.9,16280
Neil johnston,516,24.2,10023
Charles Barkley,1073,24.6,23757
Kareem Abdul-Jabbar,1560,24.6,38387
Karl-Anthony Towns,511,24.4,11772
Chris Paul,1214,24.3,21775
James Harden,1000,24.3,24693
Tim Duncan,1392,24.2,26496
Magic Johnson,906,24.1,17707
Hassan Whiteside,511,24.0,6450
Karl Malone,1476,23.9,36928
Stephen Curry,882,23.8,21712
Hakeem Olajuwon,1238,23.6,26496
Larry Bird,897,23.5,21791
Dwyane Wade,1054,23.5,23165
Kawhi Leonard,628,23.3,12324
Kobe Bryant,1346,22.9,33643
